STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT19,WT22
USW00094728,"NY CITY CENTRAL PARK, NY US",9/11/2011,4.47,800,404,0.01,0,0,,71,64,,60,60,10.1,16.1,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/12/2011,2.01,1641,1641,0,0,0,,80,66,,160,160,8.9,15,1,,,,,,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/13/2011,4.7,1803,1936,0,0,0,,82,67,,230,200,13,17.9,1,,,,,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/14/2011,4.92,2059,2121,0,0,0,,85,70,,230,240,12.1,17.9,1,,,,,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/15/2011,4.7,1744,1709,0.07,0,0,,76,53,,340,300,15,25.1,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/16/2011,5.37,1042,900,0,0,0,,65,51,,280,340,13,21,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/17/2011,5.37,931,930,0,0,0,,65,53,,70,80,16.1,21,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/18/2011,7.38,1124,921,0,0,0,,68,53,,60,70,17,25.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/19/2011,4.92,928,1506,0,0,0,,68,52,,50,230,10.1,15,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/20/2011,4.03,1205,811,0.06,0,0,,68,61,,130,220,13,19.9,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/21/2011,2.24,2012,1341,0.06,0,0,,73,63,,120,170,8.9,16.1,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/22/2011,1.57,1441,1606,0.02,0,0,,80,68,,170,150,8.9,15,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/23/2011,4.25,2215,2351,2.61,0,0,,73,69,,150,160,10.1,15,1,1,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/24/2011,2.01,354,359,0,0,0,,76,70,,330,310,8.9,15,1,,,,,,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/25/2011,0.89,1009,934,0,0,0,,80,70,,40,60,6.9,10.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/26/2011,1.12,1634,1633,0,0,0,,80,68,,140,140,8.9,12.1,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/27/2011,3.58,1812,1809,0,0,0,,77,69,,140,140,12.1,15,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/28/2011,5.82,1512,1026,0.11,0,0,,74,68,,130,80,13,17.9,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/29/2011,4.7,1438,1438,0.4,0,0,,73,61,,250,250,17,29.1,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/30/2011,3.8,1758,1106,0.72,0,0,,76,58,,260,150,12.1,17,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/1/2011,4.92,,,0.39,0,0,,67,50,,40,30,13,17.9,,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/2/2011,4.92,,,0.06,0,0,,64,50,,150,160,14.1,23,,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/3/2011,2.46,,,0.05,0,0,,58,48,,190,150,8.9,13,,,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/4/2011,4.7,,,0,0,0,,63,49,,290,300,13,17.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/5/2011,7.38,,,0,0,0,,71,53,,290,60,16.1,21.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/6/2011,2.91,,,0,0,0,,67,47,,60,270,10.1,14.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/7/2011,2.01,,,0,0,0,,66,48,,240,250,10.1,14.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/8/2011,2.68,,,0,0,0,,77,54,,250,240,12.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/9/2011,2.68,,,0,0,0,,84,60,,270,300,8.1,10.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/10/2011,1.57,,,0,0,0,,81,61,,50,290,8.1,10.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/11/2011,6.26,,,0,0,0,,73,62,,60,70,13,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/12/2011,10.07,,,0.45,0,0,,63,58,,60,50,21,29.1,,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/13/2011,7.38,,,0.34,0,0,,66,58,,50,30,13,19.9,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10/14/2011,5.82,,,1.02,0,0,,70,57,,230,260,13,25.1,,,,,,,,1,,1,,,
